"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fileName","Param: nbUFuses"
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.004843,0.000157,"ms/op",indirectPara.json,0
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.014155,0.000079,"ms/op",indirectPara.json,1
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.022774,0.000240,"ms/op",indirectPara.json,2
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.039480,0.000160,"ms/op",indirectPara.json,3
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.066489,0.001438,"ms/op",indirectPara.json,4
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.066289,0.000935,"ms/op",indirectPara.json,5
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.125333,0.002210,"ms/op",indirectPara.json,6
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.184154,0.006886,"ms/op",indirectPara.json,7
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.445194,0.003790,"ms/op",indirectPara.json,8
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.443720,0.011893,"ms/op",indirectPara.json,9
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfRule1","avgt",8,30,0.803053,0.044524,"ms/op",indirectPara.json,10
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,0.006180,0.000089,"ms/op",runningexample.json,0
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,0.016492,0.000328,"ms/op",runningexample.json,1
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,0.027321,0.000370,"ms/op",runningexample.json,2
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,0.043007,0.000900,"ms/op",runningexample.json,3
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,0.072253,0.002046,"ms/op",runningexample.json,4
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,0.134827,0.001801,"ms/op",runningexample.json,5
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,0.262791,0.006010,"ms/op",runningexample.json,6
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,0.492002,0.005559,"ms/op",runningexample.json,7
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,0.911674,0.041831,"ms/op",runningexample.json,8
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,1.853246,0.137949,"ms/op",runningexample.json,9
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,3.557094,0.240006,"ms/op",runningexample.json,10
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,3.747938,0.335168,"ms/op",runningexample.json,11
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfRule1","avgt",8,30,6.198661,0.115839,"ms/op",runningexample.json,12
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.008197,0.000190,"ms/op",realcase-Sub2.json,0
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.021992,0.000216,"ms/op",realcase-Sub2.json,1
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.035404,0.000263,"ms/op",realcase-Sub2.json,2
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.057070,0.000373,"ms/op",realcase-Sub2.json,3
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.103741,0.002094,"ms/op",realcase-Sub2.json,4
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.201272,0.003188,"ms/op",realcase-Sub2.json,5
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.398880,0.007828,"ms/op",realcase-Sub2.json,6
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.783397,0.014587,"ms/op",realcase-Sub2.json,7
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,1.631303,0.047232,"ms/op",realcase-Sub2.json,8
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,3.302000,0.021440,"ms/op",realcase-Sub2.json,9
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,6.444175,0.460826,"ms/op",realcase-Sub2.json,10
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,12.626255,0.609465,"ms/op",realcase-Sub2.json,11
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,26.162591,2.302971,"ms/op",realcase-Sub2.json,12
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,41.502194,0.959482,"ms/op",realcase-Sub2.json,13
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,85.086467,10.957748,"ms/op",realcase-Sub2.json,14
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,79.114616,1.085889,"ms/op",realcase-Sub2.json,15
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,175.675202,20.378156,"ms/op",realcase-Sub2.json,16
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.007720,0.000200,"ms/op",realcase-Sub3.json,0
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.025918,0.000458,"ms/op",realcase-Sub3.json,1
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.043213,0.001040,"ms/op",realcase-Sub3.json,2
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.080935,0.001664,"ms/op",realcase-Sub3.json,3
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.080091,0.001826,"ms/op",realcase-Sub3.json,4
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.080816,0.001881,"ms/op",realcase-Sub3.json,5
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.144958,0.002877,"ms/op",realcase-Sub3.json,6
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.250118,0.003617,"ms/op",realcase-Sub3.json,7
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.506261,0.012144,"ms/op",realcase-Sub3.json,8
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,0.966193,0.008425,"ms/op",realcase-Sub3.json,9
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,2.025146,0.036544,"ms/op",realcase-Sub3.json,10
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,3.896153,0.044948,"ms/op",realcase-Sub3.json,11
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,3.617335,0.247666,"ms/op",realcase-Sub3.json,12
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,6.818560,0.550983,"ms/op",realcase-Sub3.json,13
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,13.323524,0.812483,"ms/op",realcase-Sub3.json,14
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,14.866322,0.386960,"ms/op",realcase-Sub3.json,15
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfRule1","avgt",8,30,23.354727,0.239076,"ms/op",realcase-Sub3.json,16
"duc.propagation.bench.smartgridcomm2020.Topo2Fuses.listValidConfRule1","avgt",8,30,0.001046,0.000006,"ms/op",singleCable.json,0
"duc.propagation.bench.smartgridcomm2020.Topo2Fuses.listValidConfRule1","avgt",8,30,0.003066,0.000023,"ms/op",singleCable.json,1
"duc.propagation.bench.smartgridcomm2020.Topo2Fuses.listValidConfRule1","avgt",8,30,0.003054,0.000028,"ms/op",singleCable.json,2
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,0.016927,0.000353,"ms/op",realcase-Sub1.json,0
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,0.049413,0.002056,"ms/op",realcase-Sub1.json,1
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,0.079497,0.002220,"ms/op",realcase-Sub1.json,2
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,0.078114,0.001398,"ms/op",realcase-Sub1.json,3
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,0.137336,0.000769,"ms/op",realcase-Sub1.json,4
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,0.276504,0.005353,"ms/op",realcase-Sub1.json,5
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,0.514963,0.007458,"ms/op",realcase-Sub1.json,6
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,1.048835,0.009350,"ms/op",realcase-Sub1.json,7
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,2.062475,0.028859,"ms/op",realcase-Sub1.json,8
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,4.229725,0.053534,"ms/op",realcase-Sub1.json,9
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,8.314726,0.060830,"ms/op",realcase-Sub1.json,10
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,14.894110,0.840613,"ms/op",realcase-Sub1.json,11
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,30.066247,1.870460,"ms/op",realcase-Sub1.json,12
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,51.314930,4.157297,"ms/op",realcase-Sub1.json,13
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,106.061740,8.273094,"ms/op",realcase-Sub1.json,14
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,103.858634,6.320083,"ms/op",realcase-Sub1.json,15
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,230.425629,14.921685,"ms/op",realcase-Sub1.json,16
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,392.152710,6.407990,"ms/op",realcase-Sub1.json,17
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,749.612468,11.884491,"ms/op",realcase-Sub1.json,18
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,1417.287867,3.154676,"ms/op",realcase-Sub1.json,19
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,3160.985381,327.947122,"ms/op",realcase-Sub1.json,20
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,6558.639428,620.792999,"ms/op",realcase-Sub1.json,21
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfRule1","avgt",8,30,5764.302454,117.652153,"ms/op",realcase-Sub1.json,22
"duc.propagation.bench.smartgridcomm2020.Topo4Fuses.listValidConfRule1","avgt",8,30,0.001828,0.000053,"ms/op",paraDeadEnd.json,0
"duc.propagation.bench.smartgridcomm2020.Topo4Fuses.listValidConfRule1","avgt",8,30,0.006121,0.000027,"ms/op",paraDeadEnd.json,1
"duc.propagation.bench.smartgridcomm2020.Topo4Fuses.listValidConfRule1","avgt",8,30,0.009542,0.000082,"ms/op",paraDeadEnd.json,2
"duc.propagation.bench.smartgridcomm2020.Topo4Fuses.listValidConfRule1","avgt",8,30,0.014902,0.000611,"ms/op",paraDeadEnd.json,3
"duc.propagation.bench.smartgridcomm2020.Topo4Fuses.listValidConfRule1","avgt",8,30,0.027792,0.000131,"ms/op",paraDeadEnd.json,4
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.002785,0.000051,"ms/op",paraTransformer.json,0
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.008594,0.000073,"ms/op",paraTransformer.json,1
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.012525,0.000207,"ms/op",paraTransformer.json,2
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.012549,0.000176,"ms/op",paraTransformer.json,3
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.021154,0.000079,"ms/op",paraTransformer.json,4
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.036354,0.001606,"ms/op",paraTransformer.json,5
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.067482,0.000195,"ms/op",paraTransformer.json,6
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.003058,0.000040,"ms/op",cabinet.json,0
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.007051,0.000063,"ms/op",cabinet.json,1
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.010536,0.000141,"ms/op",cabinet.json,2
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.010590,0.000071,"ms/op",cabinet.json,3
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.016423,0.001043,"ms/op",cabinet.json,4
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.016739,0.000806,"ms/op",cabinet.json,5
"duc.propagation.bench.smartgridcomm2020.Topo6Fuses.listValidConfRule1","avgt",8,30,0.029597,0.000320,"ms/op",cabinet.json,6
"duc.propagation.bench.smartgridcomm2020.Topo8Fuses.listValidConfRule1","avgt",8,30,0.004213,0.000085,"ms/op",paraCabinet.json,0
"duc.propagation.bench.smartgridcomm2020.Topo8Fuses.listValidConfRule1","avgt",8,30,0.011283,0.000068,"ms/op",paraCabinet.json,1
"duc.propagation.bench.smartgridcomm2020.Topo8Fuses.listValidConfRule1","avgt",8,30,0.018098,0.000220,"ms/op",paraCabinet.json,2
"duc.propagation.bench.smartgridcomm2020.Topo8Fuses.listValidConfRule1","avgt",8,30,0.030421,0.000135,"ms/op",paraCabinet.json,3
"duc.propagation.bench.smartgridcomm2020.Topo8Fuses.listValidConfRule1","avgt",8,30,0.055802,0.000169,"ms/op",paraCabinet.json,4
"duc.propagation.bench.smartgridcomm2020.Topo8Fuses.listValidConfRule1","avgt",8,30,0.052278,0.002992,"ms/op",paraCabinet.json,5
"duc.propagation.bench.smartgridcomm2020.Topo8Fuses.listValidConfRule1","avgt",8,30,0.082708,0.005365,"ms/op",paraCabinet.json,6
"duc.propagation.bench.smartgridcomm2020.Topo8Fuses.listValidConfRule1","avgt",8,30,0.155551,0.001502,"ms/op",paraCabinet.json,7
"duc.propagation.bench.smartgridcomm2020.Topo8Fuses.listValidConfRule1","avgt",8,30,0.295438,0.022913,"ms/op",paraCabinet.json,8
